FluorPen ASCII Export File
-----------------------------------
File Name: Untitled - 11
-----------------------------------

index	1	
time	16:11:58  13.1.2024	
id	LC3-620	
1	43694	
800001	66387	
9999701	44475	
19999701	44702	
29999701	44735	
39999701	44767	
49999701	44800	
59999701	44767	
60799701	66095	
69999401	45743	
79999401	46003	
89999401	46100	
99999401	46100	
109999401	46036	
119999401	46003	
120799401	65087	
129999101	47336	
139999101	47401	
149999101	47401	
159999101	47336	
169999101	47271	
179999101	47238	
180799101	64469	
189998801	48734	
199998801	48896	
209998801	49026	
219998801	49027	
229998801	49091	
239998801	49091	
240798801	64209	
249998501	55821	
259998501	55756	
269998501	55691	
279998501	55626	
289998501	55594	
299998501	55529	
300798501	63234	
309998201	59203	
319998201	59008	
329998201	58813	
339998201	58747	
349998201	58650	
359998201	58585	
360798201	62291	
369997901	61608	
379997901	61121	
389997901	60666	
399997901	60308	
409997901	60015	
419997901	59788	
420797901	59788	
Fo	43694	
Fm	66387	
Fm_L1	66095	
Fm_L2	65087	
Fm_L3	64469	
Fm_L4	64209	
Fm_L5	63234	
Fm_L6	62291	
Fm_L7	59788	
Ft_L1	44767	
Ft_L2	46003	
Ft_L3	47238	
Ft_L4	49091	
Ft_L5	55529	
Ft_L6	58585	
Ft_L7	59788	
QY_max	0.34	
QY_L1	0.32	
QY_L2	0.29	
QY_L3	0.27	
QY_L4	0.24	
QY_L5	0.12	
QY_L6	0.06	
QY_L7	0.00	
description		
