FluorPen ASCII Export File
-----------------------------------
File Name: Untitled - 2
-----------------------------------

index	1	
time	11:54:59  16.1.2024	
id	LC3-620	
1	31276	
800001	35209	
9999701	32836	
19999701	33909	
29999701	34852	
39999701	35697	
49999701	36444	
59999701	37225	
60799701	40996	
69999401	37972	
79999401	38721	
89999401	39175	
99999401	39794	
109999401	40281	
119999401	40768	
120799401	44377	
129999101	41581	
139999101	42134	
149999101	42524	
159999101	42915	
169999101	43240	
179999101	43597	
180799101	46686	
189998801	44573	
199998801	44930	
209998801	45190	
219998801	45483	
229998801	45711	
239998801	45938	
240798801	48311	
249998501	47368	
259998501	47498	
269998501	47726	
279998501	47856	
289998501	47986	
299998501	48181	
300798501	48929	
309998201	48604	
319998201	48669	
329998201	48766	
339998201	48864	
349998201	48961	
359998201	49059	
360798201	49384	
369997901	49059	
379997901	48961	
389997901	48864	
399997901	48831	
409997901	48799	
419997901	48864	
420797901	48799	
Fo	31276	
Fm	35209	
Fm_L1	40996	
Fm_L2	44377	
Fm_L3	46686	
Fm_L4	48311	
Fm_L5	48929	
Fm_L6	49384	
Fm_L7	48799	
Ft_L1	37225	
Ft_L2	40768	
Ft_L3	43597	
Ft_L4	45938	
Ft_L5	48181	
Ft_L6	49059	
Ft_L7	48864	
QY_max	0.11	
QY_L1	0.09	
QY_L2	0.08	
QY_L3	0.07	
QY_L4	0.05	
QY_L5	0.02	
QY_L6	0.01	
QY_L7	-0.00	
description		
