Nr.;Filename;Comment;Fo;I1;PAR;p;J;Tau;1.r.Tau;Sigma;Error;
;;;Volt;Volt;uE/m²s;;;ms;ms;nm²;rel.;
1;F_251127_120424_0;Begin Sigma1000cyano_10.prg, 440nm Sigma1000_AL.FTM, ML20G5, AL17,FRback, 2avg; 0.421; 0.429;2767; 0.789; 3.750; 0.183; 0.184; 3.280;76813.4;
2;F_251127_120445_0;480nm Sigma1000_MT.FTM with ML20G10, MT20, FRback, 6 averages; 0.772; 0.791;10008; 0.464; 0.864; 0.058; 0.028; 2.873;29340.4;
3;F_251127_120546_0;540nm Sigma1000_AL.FTM with ML13G6, AL13, FRback, 2 averages; 0.608; 0.605;2248; 0.767; 3.296;19.190; 0.010; 0.038;1607869.0;
4;F_251127_120606_0;590nm Sigma1000_AL.FTM with ML15G2, AL11, FRback; 0.713; 0.722;788; 0.000; 0.000; 1.568; 0.105; 1.344;22106.6;
5;F_251127_120617_0;625nm Sigma1000.FTM with ML4G3, AL9, FRback; 0.564; 0.575;393; 0.404; 0.677; 0.551; 0.654; 7.664;62252.8;
