Nr.;Filename;Comment;Fo;I1;PAR;p;J;Tau;1.r.Tau;Sigma;Error;
;;;Volt;Volt;uE/m²s;;;ms;ms;nm²;rel.;
1;F_260608_101556_0;Begin Sigma1000cyano_10.prg, 440nm Sigma1000_AL.FTM, ML20G5, AL17,FRback, 2avg; 0.503; 0.791;2767; 0.000; 0.000; 0.778; 0.051; 0.771;  86.3;
2;F_260608_101617_0;480nm Sigma1000_MT.FTM with ML20G10, MT20, FRback, 6 averages; 1.042; 1.293;10008; 0.057; 0.060; 0.805; 0.311; 0.206; 193.5;
3;F_260608_101718_0;540nm Sigma1000_AL.FTM with ML13G6, AL13, FRback, 2 averages; 0.690; 0.883;2248; 0.735; 2.772; 0.981; 0.728; 0.753; 151.7;
4;F_260608_101739_0;590nm Sigma1000_AL.FTM with ML15G2, AL11, FRback; 0.712; 0.978;788; 0.695; 2.281; 0.609; 0.525; 3.463;  26.7;
5;F_260608_101750_0;625nm Sigma1000.FTM with ML4G3, AL9, FRback; 0.553; 0.801;393; 0.429; 0.752; 0.874; 0.116; 4.836; 105.2;
