Nr.;Filename;Comment;Fo;I1;PAR;p;J;Tau;1.r.Tau;Sigma;Error;
;;;Volt;Volt;uE/m²s;;;ms;ms;nm²;rel.;
1;F_260413_105230_0;Begin Sigma1000cyano_10.prg, 440nm Sigma1000_AL.FTM, ML20G5, AL17,FRback, 2avg; 0.620; 0.904;2767; 0.684; 2.160; 0.638; 0.376; 0.940;  35.7;
2;F_260413_105251_0;480nm Sigma1000_MT.FTM with ML20G10, MT20, FRback, 6 averages; 1.121; 1.361;10008; 0.449; 0.815; 0.745; 0.509; 0.223; 292.1;
3;F_260413_105352_0;540nm Sigma1000_AL.FTM with ML13G6, AL13, FRback, 2 averages; 0.820; 1.009;2248; 0.679; 2.114; 0.658; 0.260; 1.123; 120.1;
4;F_260413_105413_0;590nm Sigma1000_AL.FTM with ML15G2, AL11, FRback; 0.912; 1.178;788; 0.766; 3.275; 0.527; 0.478; 3.996;  41.7;
5;F_260413_105423_0;625nm Sigma1000.FTM with ML4G3, AL9, FRback; 0.726; 0.959;393; 0.738; 2.813; 0.819; 0.683; 5.159; 123.6;
