FluorPen ASCII Export File
-----------------------------------
File Name: Untitled - 1
-----------------------------------

index	1	
time	13:07:03  18.12.2023	
id	OJIP	
11	292	
21	16515	
31	16645	
41	16808	
51	16938	
61	17068	
71	17100	
81	17328	
91	17490	
101	17523	
111	17718	
121	17816	
131	17946	
141	18108	
151	18206	
161	18466	
171	18498	
181	18596	
191	18791	
201	18921	
211	19018	
221	19181	
231	19246	
241	19409	
251	19571	
261	19571	
271	19734	
281	19831	
291	19961	
301	20059	
311	20124	
321	20286	
331	20351	
341	20384	
351	20514	
361	20514	
371	20644	
381	20774	
391	20774	
401	20937	
411	20969	
421	21067	
431	21132	
441	21197	
451	21197	
461	21262	
471	21327	
481	21457	
491	21457	
501	21489	
511	21587	
521	21587	
531	21684	
541	21652	
551	21782	
561	21749	
571	21847	
581	21814	
591	21814	
601	21782	
611	21912	
1021	22790	
1121	22887	
1221	22822	
1321	22855	
1421	22887	
1521	22887	
1621	22887	
1721	22952	
1821	22985	
1921	22952	
2021	22920	
2121	22952	
2221	22952	
2321	22887	
2421	23017	
2521	22920	
2621	22887	
2721	22920	
2821	22920	
2921	22920	
3021	22887	
3121	22855	
3221	22855	
3321	22887	
3421	22855	
3521	22855	
3621	22822	
3721	22887	
3821	22822	
3921	22822	
4021	22822	
4121	22822	
4221	22855	
4321	22887	
4421	22887	
4521	22822	
4621	22822	
4721	22887	
4821	22822	
4921	22822	
5021	22757	
5121	22855	
5221	22822	
5321	22887	
5421	22887	
5521	22822	
5621	22887	
5721	22887	
5821	22887	
5921	22822	
6021	22855	
6121	22887	
6221	22887	
6321	22920	
6421	22887	
6521	22887	
6621	22952	
6721	22920	
6821	22952	
6921	22887	
7021	22887	
7121	22887	
7221	22855	
7321	22952	
7421	22887	
7521	22887	
7621	22920	
7721	22952	
7821	22920	
7921	22887	
8021	22920	
8121	22920	
8221	22952	
8321	22920	
8421	22985	
8521	22952	
8621	22920	
8721	22920	
8821	22920	
8921	22952	
9021	22952	
9121	23017	
9221	22952	
9321	22952	
9421	22952	
9521	22952	
9621	22952	
9721	22985	
9821	22952	
9921	22920	
10021	22952	
10121	23017	
10221	22952	
10321	22985	
10421	22985	
10521	22985	
10621	22952	
10721	22920	
10821	22952	
10921	22985	
11021	22952	
11121	23050	
11221	23017	
11321	23050	
11421	22952	
11521	22952	
11621	23017	
11721	23017	
11821	22952	
11921	23017	
12021	22985	
12121	23050	
12221	22952	
12321	22952	
12421	23017	
12521	22985	
12621	22985	
12721	22985	
12821	23017	
12921	22952	
13021	22985	
13121	22920	
13221	23082	
13321	22985	
13421	22952	
13521	22952	
13621	22952	
13721	23017	
13821	23017	
13921	23017	
15321	22985	
16321	22985	
17321	23017	
18321	22952	
19321	22952	
20321	22985	
21321	23017	
22321	22985	
23321	23017	
24321	23017	
25321	23050	
26321	23017	
27321	22920	
28321	23050	
29321	22952	
30321	23017	
31321	22985	
32321	23017	
33321	23017	
34321	22985	
