
"t";"Date";"Time";"No.";"ML";"Temp.";"PAR";"F";"Fm'";"Y(II)";"ETR";"";
;20.07.23;15:03:00;Type: ICM
;20.07.23;15:02:59;20230718.par*
      12;20.07.23;15:03:12;1;5; 0.0;0;0.560;1.499;0.626;  0.0;;
      27;20.07.23;15:03:27;2;5; 0.0;0;0.562;1.479;0.620;  0.0;;
      42;20.07.23;15:03:42;3;5; 0.0;0;0.560;1.467;0.618;  0.0;;
      57;20.07.23;15:03:57;4;5; 0.0;78;0.596;1.374;0.566; 18.5;;
      72;20.07.23;15:04:12;5;5; 0.0;78;0.599;1.361;0.560; 18.3;;
      87;20.07.23;15:04:27;6;5; 0.0;78;0.594;1.358;0.563; 18.4;;
     102;20.07.23;15:04:42;7;5; 0.0;78;0.584;1.344;0.565; 18.5;;
     117;20.07.23;15:04:57;8;5; 0.0;78;0.580;1.331;0.564; 18.5;;
     132;20.07.23;15:05:12;9;5; 0.0;78;0.575;1.322;0.565; 18.5;;
     147;20.07.23;15:05:27;10;5; 0.0;78;0.571;1.311;0.564; 18.5;;
     162;20.07.23;15:05:42;11;5; 0.0;78;0.568;1.300;0.563; 18.4;;
     177;20.07.23;15:05:57;12;5; 0.0;78;0.565;1.291;0.562; 18.4;;
     192;20.07.23;15:06:12;13;5; 0.0;78;0.564;1.280;0.559; 18.3;;
     207;20.07.23;15:06:27;14;5; 0.0;78;0.562;1.274;0.559; 18.3;;
     222;20.07.23;15:06:42;15;5; 0.0;78;0.561;1.262;0.555; 18.2;;
     237;20.07.23;15:06:57;16;5; 0.0;57;0.762;1.385;0.450; 10.8;;
     252;20.07.23;15:07:12;17;5; 0.0;57;0.789;1.385;0.430; 10.3;;
     267;20.07.23;15:07:27;18;5; 0.0;57;0.800;1.372;0.417; 10.0;;
     282;20.07.23;15:07:42;19;5; 0.0;57;0.801;1.359;0.411;  9.8;;
     297;20.07.23;15:07:57;20;5; 0.0;57;0.799;1.354;0.410;  9.8;;
     312;20.07.23;15:08:12;21;5; 0.0;57;0.796;1.346;0.409;  9.8;;
     327;20.07.23;15:08:27;22;5; 0.0;57;0.791;1.340;0.410;  9.8;;
     342;20.07.23;15:08:42;23;5; 0.0;57;0.785;1.332;0.411;  9.8;;
     357;20.07.23;15:08:57;24;5; 0.0;57;0.781;1.331;0.413;  9.9;;
     372;20.07.23;15:09:12;25;5; 0.0;57;0.775;1.324;0.415;  9.9;;
     387;20.07.23;15:09:27;26;5; 0.0;57;0.769;1.320;0.417; 10.0;;
     402;20.07.23;15:09:42;27;5; 0.0;57;0.764;1.315;0.419; 10.0;;
     417;20.07.23;15:09:57;28;5; 0.0;57;0.759;1.310;0.421; 10.1;;
     432;20.07.23;15:10:12;29;5; 0.0;57;0.755;1.306;0.422; 10.1;;
     447;20.07.23;15:10:27;30;5; 0.0;57;0.749;1.303;0.425; 10.2;;
     462;20.07.23;15:10:42;31;5; 0.0;57;0.744;1.296;0.426; 10.2;;
     477;20.07.23;15:10:57;32;5; 0.0;57;0.737;1.293;0.430; 10.3;;
     492;20.07.23;15:11:12;33;5; 0.0;57;0.733;1.288;0.431; 10.3;;
     507;20.07.23;15:11:27;34;5; 0.0;57;0.729;1.284;0.432; 10.3;;
     522;20.07.23;15:11:42;35;5; 0.0;57;0.723;1.279;0.435; 10.4;;
     537;20.07.23;15:11:57;36;5; 0.0;78;0.574;1.159;0.505; 16.5;;
     552;20.07.23;15:12:12;37;5; 0.0;78;0.571;1.191;0.521; 17.1;;
     567;20.07.23;15:12:27;38;5; 0.0;78;0.567;1.220;0.535; 17.5;;
     582;20.07.23;15:12:42;39;5; 0.0;78;0.566;1.234;0.541; 17.7;;
     597;20.07.23;15:12:57;40;5; 0.0;78;0.562;1.232;0.544; 17.8;;
     612;20.07.23;15:13:12;41;5; 0.0;78;0.560;1.231;0.545; 17.9;;
     627;20.07.23;15:13:27;42;5; 0.0;78;0.558;1.227;0.545; 17.9;;
     642;20.07.23;15:13:42;43;5; 0.0;78;0.556;1.224;0.546; 17.9;;
     657;20.07.23;15:13:57;44;5; 0.0;78;0.554;1.218;0.545; 17.9;;
     672;20.07.23;15:14:12;45;5; 0.0;78;0.551;1.211;0.545; 17.9;;
     687;20.07.23;15:14:27;46;5; 0.0;78;0.549;1.209;0.546; 17.9;;
     702;20.07.23;15:14:42;47;5; 0.0;78;0.550;1.204;0.543; 17.8;;
     717;20.07.23;15:14:57;48;5; 0.0;1931;0.911;1.196;0.238;193.3;;
     732;20.07.23;15:15:12;49;5; 0.0;1931;0.774;1.038;0.254;206.3;;
     747;20.07.23;15:15:27;50;5; 0.0;1931;0.724;0.986;0.266;215.5;;
     762;20.07.23;15:15:42;51;5; 0.0;1931;0.703;0.958;0.266;215.9;;
     777;20.07.23;15:15:57;52;5; 0.0;1931;0.697;0.947;0.264;214.1;;
     792;20.07.23;15:16:12;53;5; 0.0;1931;0.693;0.937;0.260;211.2;;
     807;20.07.23;15:16:27;54;5; 0.0;1931;0.689;0.930;0.259;210.2;;
     822;20.07.23;15:16:42;55;5; 0.0;1931;0.687;0.925;0.257;208.7;;
     837;20.07.23;15:16:57;56;5; 0.0;0;0.520;0.994;0.477;  0.0;;
     852;20.07.23;15:17:12;57;5; 0.0;0;0.500;1.029;0.514;  0.0;;
     867;20.07.23;15:17:27;58;5; 0.0;0;0.507;1.056;0.520;  0.0;;
     882;20.07.23;15:17:42;59;5; 0.0;0;0.509;1.075;0.527;  0.0;;
     897;20.07.23;15:17:57;60;5; 0.0;0;0.513;1.086;0.528;  0.0;;
     912;20.07.23;15:18:12;61;5; 0.0;0;0.511;1.101;0.536;  0.0;;
     927;20.07.23;15:18:27;62;5; 0.0;0;0.507;1.111;0.544;  0.0;;
     942;20.07.23;15:18:42;63;5; 0.0;0;0.509;1.121;0.546;  0.0;;
     957;20.07.23;15:18:56
     957;20.07.23;15:18:56;File: M_230720_150300.PWS
