
"t";"Date";"Time";"No.";"ML";"Temp.";"PAR";"F";"Fm'";"Y(II)";"ETR";"";
       0;20.07.23;16:42:30;Type: ICM
;20.07.23;16:42:29;20230718.par*
      12;20.07.23;16:42:42;1;5; 0.0;0;0.604;1.655;0.635;  0.0;;
      27;20.07.23;16:42:57;2;5; 0.0;0;0.613;1.634;0.625;  0.0;;
      42;20.07.23;16:43:12;3;5; 0.0;0;0.606;1.631;0.628;  0.0;;
      57;20.07.23;16:43:27;4;5; 0.0;78;0.649;1.550;0.581; 19.0;;
      72;20.07.23;16:43:42;5;5; 0.0;78;0.654;1.557;0.580; 19.0;;
      87;20.07.23;16:43:57;6;5; 0.0;78;0.644;1.541;0.582; 19.1;;
     102;20.07.23;16:44:12;7;5; 0.0;78;0.636;1.527;0.583; 19.1;;
     117;20.07.23;16:44:27;8;5; 0.0;78;0.629;1.512;0.584; 19.1;;
     132;20.07.23;16:44:42;9;5; 0.0;78;0.625;1.500;0.583; 19.1;;
     147;20.07.23;16:44:57;10;5; 0.0;78;0.621;1.487;0.582; 19.1;;
     162;20.07.23;16:45:12;11;5; 0.0;78;0.619;1.476;0.581; 19.0;;
     177;20.07.23;16:45:27;12;5; 0.0;78;0.615;1.467;0.581; 19.0;;
     192;20.07.23;16:45:42;13;5; 0.0;78;0.613;1.458;0.580; 19.0;;
     207;20.07.23;16:45:57;14;5; 0.0;78;0.612;1.450;0.578; 18.9;;
     222;20.07.23;16:46:12;15;5; 0.0;78;0.611;1.444;0.577; 18.9;;
     237;20.07.23;16:46:27;16;5; 0.0;57;0.885;1.585;0.442; 10.6;;
     252;20.07.23;16:46:42;17;5; 0.0;57;0.907;1.572;0.423; 10.1;;
     267;20.07.23;16:46:57;18;5; 0.0;57;0.906;1.549;0.415;  9.9;;
     282;20.07.23;16:47:12;19;5; 0.0;57;0.902;1.537;0.413;  9.9;;
     297;20.07.23;16:47:27;20;5; 0.0;57;0.899;1.529;0.412;  9.9;;
     312;20.07.23;16:47:42;21;5; 0.0;57;0.893;1.519;0.412;  9.9;;
     327;20.07.23;16:47:57;22;5; 0.0;57;0.886;1.513;0.414;  9.9;;
     342;20.07.23;16:48:12;23;5; 0.0;57;0.880;1.506;0.416; 10.0;;
     357;20.07.23;16:48:27;24;5; 0.0;57;0.873;1.499;0.418; 10.0;;
     372;20.07.23;16:48:42;25;5; 0.0;57;0.867;1.493;0.419; 10.0;;
     387;20.07.23;16:48:57;26;5; 0.0;57;0.862;1.487;0.420; 10.1;;
     402;20.07.23;16:49:12;27;5; 0.0;57;0.856;1.481;0.422; 10.1;;
     417;20.07.23;16:49:27;28;5; 0.0;57;0.850;1.477;0.425; 10.2;;
     432;20.07.23;16:49:42;29;5; 0.0;57;0.846;1.469;0.424; 10.2;;
     447;20.07.23;16:49:57;30;5; 0.0;57;0.841;1.464;0.426; 10.2;;
     462;20.07.23;16:50:12;31;5; 0.0;57;0.835;1.458;0.427; 10.2;;
     477;20.07.23;16:50:27;32;5; 0.0;57;0.832;1.454;0.428; 10.2;;
     492;20.07.23;16:50:42;33;5; 0.0;57;0.826;1.451;0.431; 10.3;;
     507;20.07.23;16:50:57;34;5; 0.0;57;0.823;1.446;0.431; 10.3;;
     522;20.07.23;16:51:12;35;5; 0.0;57;0.819;1.441;0.432; 10.3;;
     537;20.07.23;16:51:27;36;5; 0.0;78;0.627;1.298;0.517; 16.9;;
     552;20.07.23;16:51:42;37;5; 0.0;78;0.626;1.363;0.541; 17.7;;
     567;20.07.23;16:51:57;38;5; 0.0;78;0.622;1.400;0.556; 18.2;;
     582;20.07.23;16:52:12;39;5; 0.0;78;0.620;1.417;0.562; 18.4;;
     597;20.07.23;16:52:27;40;5; 0.0;78;0.618;1.423;0.566; 18.5;;
     612;20.07.23;16:52:42;41;5; 0.0;78;0.616;1.422;0.567; 18.6;;
     627;20.07.23;16:52:57;42;5; 0.0;78;0.613;1.419;0.568; 18.6;;
     642;20.07.23;16:53:12;43;5; 0.0;78;0.612;1.413;0.567; 18.6;;
     657;20.07.23;16:53:27;44;5; 0.0;78;0.609;1.411;0.568; 18.6;;
     672;20.07.23;16:53:42;45;5; 0.0;78;0.607;1.405;0.568; 18.6;;
     687;20.07.23;16:53:57;46;5; 0.0;78;0.606;1.404;0.568; 18.6;;
     702;20.07.23;16:54:12;47;5; 0.0;78;0.604;1.401;0.569; 18.6;;
     717;20.07.23;16:54:27;48;5; 0.0;1931;1.016;1.370;0.258;209.6;;
     732;20.07.23;16:54:42;49;5; 0.0;1931;0.847;1.180;0.282;228.9;;
     747;20.07.23;16:54:57;50;5; 0.0;1931;0.795;1.119;0.290;234.8;;
     762;20.07.23;16:55:12;51;5; 0.0;1931;0.774;1.089;0.289;234.6;;
     777;20.07.23;16:55:27;52;5; 0.0;1931;0.767;1.074;0.286;231.8;;
     792;20.07.23;16:55:42;53;5; 0.0;1931;0.764;1.066;0.283;229.8;;
     807;20.07.23;16:55:57;54;5; 0.0;1931;0.760;1.058;0.282;228.4;;
     822;20.07.23;16:56:12;55;5; 0.0;1931;0.758;1.051;0.279;226.1;;
     837;20.07.23;16:56:27;56;5; 0.0;0;0.569;1.151;0.506;  0.0;;
     852;20.07.23;16:56:42;57;5; 0.0;0;0.552;1.191;0.537;  0.0;;
     867;20.07.23;16:56:57;58;5; 0.0;0;0.558;1.218;0.542;  0.0;;
     882;20.07.23;16:57:12;59;5; 0.0;0;0.565;1.224;0.538;  0.0;;
     897;20.07.23;16:57:27;60;5; 0.0;0;0.573;1.233;0.535;  0.0;;
     912;20.07.23;16:57:42;61;5; 0.0;0;0.578;1.242;0.535;  0.0;;
     927;20.07.23;16:57:57;62;5; 0.0;0;0.580;1.249;0.536;  0.0;;
     942;20.07.23;16:58:12;63;5; 0.0;0;0.578;1.258;0.541;  0.0;;
     956;20.07.23;16:58:26
     956;20.07.23;16:58:26;File: M_230720_164230.PWS
