
"t";"Date";"Time";"No.";"ML";"Temp.";"PAR";"F";"Fm'";"Y(II)";"ETR";"";
;21.07.23;07:47:23;Type: ICM
;21.07.23;07:47:22;20230718.par
      12;21.07.23;07:47:35;1;5; 0.0;0;0.578;1.668;0.653;  0.0;;
      27;21.07.23;07:47:50;2;5; 0.0;0;0.583;1.647;0.646;  0.0;;
      42;21.07.23;07:48:05;3;5; 0.0;0;0.582;1.635;0.644;  0.0;;
      57;21.07.23;07:48:20;4;5; 0.0;78;0.628;1.537;0.591; 19.4;;
      72;21.07.23;07:48:35;5;5; 0.0;78;0.627;1.534;0.591; 19.4;;
      87;21.07.23;07:48:50;6;5; 0.0;78;0.620;1.518;0.592; 19.4;;
     102;21.07.23;07:49:05;7;5; 0.0;78;0.612;1.494;0.590; 19.3;;
     117;21.07.23;07:49:20;8;5; 0.0;78;0.606;1.474;0.589; 19.3;;
     132;21.07.23;07:49:35;9;5; 0.0;78;0.601;1.457;0.588; 19.2;;
     147;21.07.23;07:49:50;10;5; 0.0;78;0.598;1.443;0.586; 19.2;;
     162;21.07.23;07:50:05;11;5; 0.0;78;0.595;1.431;0.584; 19.1;;
     177;21.07.23;07:50:20;12;5; 0.0;78;0.591;1.421;0.584; 19.1;;
     192;21.07.23;07:50:35;13;5; 0.0;78;0.590;1.416;0.583; 19.1;;
     207;21.07.23;07:50:50;14;5; 0.0;78;0.588;1.408;0.582; 19.1;;
     222;21.07.23;07:51:05;15;5; 0.0;78;0.585;1.400;0.582; 19.1;;
     237;21.07.23;07:51:20;16;5; 0.0;57;0.836;1.525;0.452; 10.8;;
     252;21.07.23;07:51:35;17;5; 0.0;57;0.851;1.509;0.436; 10.4;;
     267;21.07.23;07:51:50;18;5; 0.0;57;0.850;1.491;0.430; 10.3;;
     282;21.07.23;07:52:05;19;5; 0.0;57;0.847;1.476;0.426; 10.2;;
     297;21.07.23;07:52:20;20;5; 0.0;57;0.843;1.466;0.425; 10.2;;
     312;21.07.23;07:52:35;21;5; 0.0;57;0.837;1.457;0.426; 10.2;;
     327;21.07.23;07:52:50;22;5; 0.0;57;0.832;1.448;0.425; 10.2;;
     342;21.07.23;07:53:05;23;5; 0.0;57;0.827;1.446;0.428; 10.2;;
     357;21.07.23;07:53:20;24;5; 0.0;57;0.822;1.441;0.430; 10.3;;
     372;21.07.23;07:53:35;25;5; 0.0;57;0.816;1.434;0.431; 10.3;;
     387;21.07.23;07:53:50;26;5; 0.0;57;0.812;1.432;0.433; 10.4;;
     402;21.07.23;07:54:05;27;5; 0.0;57;0.807;1.426;0.434; 10.4;;
     417;21.07.23;07:54:20;28;5; 0.0;57;0.802;1.422;0.436; 10.4;;
     432;21.07.23;07:54:35;29;5; 0.0;57;0.798;1.417;0.437; 10.5;;
     447;21.07.23;07:54:50;30;5; 0.0;57;0.795;1.414;0.438; 10.5;;
     462;21.07.23;07:55:05;31;5; 0.0;57;0.790;1.411;0.440; 10.5;;
     477;21.07.23;07:55:20;32;5; 0.0;57;0.788;1.407;0.440; 10.5;;
     492;21.07.23;07:55:35;33;5; 0.0;57;0.783;1.404;0.442; 10.6;;
     507;21.07.23;07:55:50;34;5; 0.0;57;0.779;1.399;0.443; 10.6;;
     522;21.07.23;07:56:05;35;5; 0.0;57;0.777;1.395;0.443; 10.6;;
     537;21.07.23;07:56:20;36;5; 0.0;78;0.603;1.275;0.527; 17.3;;
     552;21.07.23;07:56:35;37;5; 0.0;78;0.603;1.324;0.545; 17.8;;
     567;21.07.23;07:56:50;38;5; 0.0;78;0.600;1.357;0.558; 18.3;;
     582;21.07.23;07:57:05;39;5; 0.0;78;0.598;1.369;0.563; 18.4;;
     597;21.07.23;07:57:20;40;5; 0.0;78;0.595;1.369;0.565; 18.5;;
     612;21.07.23;07:57:35;41;5; 0.0;78;0.592;1.365;0.566; 18.6;;
     627;21.07.23;07:57:50;42;5; 0.0;78;0.590;1.361;0.566; 18.6;;
     642;21.07.23;07:58:05;43;5; 0.0;78;0.586;1.355;0.568; 18.6;;
     657;21.07.23;07:58:20;44;5; 0.0;78;0.584;1.350;0.567; 18.6;;
     673;21.07.23;07:58:36;45;5; 0.0;78;0.581;1.344;0.568; 18.6;;
     687;21.07.23;07:58:50;46;5; 0.0;78;0.581;1.338;0.566; 18.5;;
     702;21.07.23;07:59:05;47;5; 0.0;78;0.580;1.333;0.565; 18.5;;
     717;21.07.23;07:59:20;48;5; 0.0;1931;0.985;1.310;0.248;201.2;;
     732;21.07.23;07:59:35;49;5; 0.0;1931;0.834;1.136;0.266;215.6;;
     747;21.07.23;07:59:50;50;5; 0.0;1931;0.788;1.085;0.274;222.0;;
     762;21.07.23;08:00:05;51;5; 0.0;1931;0.765;1.059;0.278;225.2;;
     777;21.07.23;08:00:20;52;5; 0.0;1931;0.760;1.046;0.273;221.8;;
     792;21.07.23;08:00:35;53;5; 0.0;1931;0.755;1.037;0.272;220.5;;
     807;21.07.23;08:00:50;54;5; 0.0;1931;0.751;1.029;0.270;219.1;;
     822;21.07.23;08:01:05;55;5; 0.0;1931;0.750;1.022;0.266;215.8;;
     837;21.07.23;08:01:20;56;5; 0.0;0;0.577;1.096;0.474;  0.0;;
     852;21.07.23;08:01:35;57;5; 0.0;0;0.531;1.141;0.535;  0.0;;
     867;21.07.23;08:01:50;58;5; 0.0;0;0.533;1.171;0.545;  0.0;;
     882;21.07.23;08:02:05;59;5; 0.0;0;0.529;1.185;0.554;  0.0;;
     897;21.07.23;08:02:20;60;5; 0.0;0;0.536;1.193;0.551;  0.0;;
     912;21.07.23;08:02:35;61;5; 0.0;0;0.537;1.204;0.554;  0.0;;
     927;21.07.23;08:02:50;62;5; 0.0;0;0.542;1.211;0.552;  0.0;;
     942;21.07.23;08:03:05;63;5; 0.0;0;0.538;1.222;0.560;  0.0;;
     957;21.07.23;08:03:20;64;5; 0.0;0;0.542;1.230;0.559;  0.0;;
     960;21.07.23;08:03:23
     960;21.07.23;08:03:23;File: M_230721_074723.PWS
