FluorPen ASCII Export File
-----------------------------------
File Name: Untitled - 1
-----------------------------------

index	1	
time	11:54:30  10.10.2024	
id	NPQ1	
1	888	
207601	881	
415201	888	
622801	853	
1422801	906	
2443101	862	
3450701	878	
4458301	885	
5465901	900	
6473501	852	
7481101	884	
8488701	888	
9496301	881	
10503901	858	
11511501	881	
12519101	865	
13526701	868	
14534301	853	
15541901	877	
16549501	881	
17557101	884	
18564701	881	
19364701	919	
20385001	862	
21392601	913	
22400201	913	
23407801	919	
24415401	871	
25423001	855	
26430601	900	
27438201	874	
28445801	920	
29453401	878	
30461001	865	
31261001	935	
32281301	852	
33288901	888	
34296501	887	
35304101	894	
36311701	891	
37319301	897	
38326901	885	
39334501	891	
40342101	910	
41349701	872	
42357301	887	
43157301	910	
44177601	890	
45185201	891	
46192801	916	
47200401	894	
48208001	897	
49215601	926	
50223201	868	
51230801	894	
52238401	868	
53246001	881	
54253601	868	
55053601	932	
56073901	846	
57081501	865	
58089101	855	
59096701	878	
60104301	878	
61111901	872	
62119501	887	
63127101	868	
64134701	920	
65142301	881	
66149901	878	
66949901	951	
67970201	888	
68977801	903	
69985401	840	
70993001	894	
73000601	916	
74008201	878	
75015801	852	
76023401	875	
77031001	865	
78038601	887	
79046201	877	
80053801	868	
81061401	897	
82069001	913	
83076601	846	
83876601	919	
84896901	871	
85904501	885	
86912101	881	
87919701	859	
88927301	884	
89934901	852	
90942501	843	
91950101	874	
92957701	865	
93965301	856	
94972901	826	
95980501	881	
96988101	884	
97995701	884	
99003301	890	
100010901	881	
101018501	875	
102026101	862	
103033701	833	
104041301	862	
105048901	833	
106056501	894	
107064101	871	
108071701	868	
109079301	875	
109879301	919	
110899601	865	
111907201	856	
112914801	842	
113922401	887	
114930001	891	
115937601	871	
116945201	891	
117952801	862	
118960401	845	
119968001	878	
120975601	878	
121983201	845	
122990801	862	
123998401	878	
125006001	859	
126013601	829	
127021201	888	
128028801	894	
129036401	910	
130044001	859	
131051601	878	
132059201	868	
133066801	877	
134074401	885	
135082001	875	
135882001	925	
136902301	878	
137909901	858	
138917501	865	
139925101	913	
140932701	865	
141940301	913	
142947901	862	
143955501	881	
144963101	897	
145970701	887	
146978301	887	
147985901	888	
148993501	846	
150001101	868	
151008701	846	
152016301	897	
153023901	874	
154031501	868	
155039101	887	
156046701	875	
157054301	846	
158061901	862	
159069501	923	
160077101	888	
161084701	878	
Fo	888	
Fm	906	
Fp	881	
Fm_L1	919	
Fm_L2	935	
Fm_L3	910	
Fm_L4	932	
Fm_Lss	951	
NPQ_L1	-0.01	
NPQ_L2	-0.03	
NPQ_L3	-0.00	
NPQ_L4	-0.03	
NPQ_Lss	-0.05	
Qp_L1	2.05	
Qp_L2	3.65	
Qp_L3	1.27	
Qp_L4	3.36	
Qp_Lss	2.09	
Rfd	0.00	
Fm_D1	919	
Fm_D2	919	
Fm_D3	925	
NPQ_D1	-0.01	
NPQ_D2	-0.01	
NPQ_D3	-0.02	
Qp_D1	3.94	
Qp_D2	2.38	
Qp_D3	2.67	
QY_max	0.02	
QY_L1	0.04	
QY_L2	0.07	
QY_L3	0.03	
QY_L4	0.07	
QY_Lss	0.08	
QY_D1	0.08	
QY_D2	0.05	
QY_D3	0.05	
FLASH-Wavelength [nm]	455.00	
FLASH-Percent [%]	15.00	
FLASH-Intensity [uE]	-NAN	
SUPER-Wavelength [nm]	455.00	
SUPER-Percent [%]	15.00	
SUPER-Intensity [uE]	-NAN	
ACTINIC-Wavelength [nm]	455.00	
ACTINIC-Percent [%]	1.00	
ACTINIC-Intensity [uE]	10.00	
description		
