TITLE,
DATA TYPE,FLUORESCENCE SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,2023/08/04
TIME,11:39:49
SPECTROMETER/DATA SYSTEM,JASCO Corp., FP-8550, Rev. 1.00
DELTAX,0.5
XUNITS,NANOMETERS
YUNITS,INTENSITY
FIRSTX,  500.0000
LASTX,  800.0000
NPOINTS,     601
FIRSTY,    22.47608
MAXY,   330.19186
MINY,     5.60517
XYDATA
,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,505,510,515,520,525,530,535,540,545,550,555,560,565,570,575,580,585,590,595,600,605,610,615,620,625,630,635,640,645,650
500,22.4761,21.4045,20.2412,19.9276,18.3314,16.1857,15.1762,15.2435,15.0676,15.8799,16.0616,16.1023,15.1321,14.5644,13.7292,13.8475,12.8084,11.642,10.791,10.5727,10.7926,11.7166,11.5351,11.1159,10.2731,12.5188,20.4965,87.6992,341.417,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500.5,22.3711,21.2771,20.1427,19.7212,18.1642,16.3311,15.1372,15.2581,15.0935,15.8061,16.2352,16.3143,15.0897,14.5295,13.9425,13.8219,12.9761,11.5322,10.8559,10.6729,10.8958,11.6933,11.5734,11.0712,10.2983,12.3134,18.919,75.7509,317.504,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,22.2724,21.053,20.229,19.4963,18.0581,16.368,15.3768,15.127,15.1639,15.8696,16.325,16.4386,15.1372,14.5398,14.1024,13.7748,13.1332,11.5295,10.8556,10.7637,10.9196,11.8201,11.5845,11.1818,10.3551,12.2241,17.5933,65.1168,291.761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501.5,22.1001,20.9038,20.3276,19.4185,17.9346,16.4026,15.5681,14.9788,15.3116,15.9343,16.3612,16.4601,15.0668,14.3127,14.1613,13.7153,13.1784,11.4365,10.8297,10.8716,10.8961,11.7141,11.8055,11.0493,10.2921,11.9927,16.6992,55.741,265.991,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502,21.8782,20.7346,20.4192,19.5597,18.0265,16.4264,15.5949,15.079,15.4328,15.9141,16.3189,16.5861,15.0504,14.3838,14.232,13.7997,13.2808,11.5827,10.8479,10.9761,11.0428,11.745,11.7665,11.1696,10.3217,11.9278,15.9005,47.2473,241.043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502.5,21.7799,20.6476,20.4197,19.6165,18.2725,16.495,15.719,14.8447,15.6904,16.1302,16.32,16.6222,15.0508,14.3096,14.1346,13.8811,13.226,11.698,10.7868,10.9203,11.0688,11.7815,11.7215,11.1196,10.2733,11.6957,15.3113,40.2504,216.975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503,21.5593,20.6169,20.5998,19.5683,18.3689,16.6105,15.5839,15.086,15.7921,16.1893,16.2643,16.8486,15.1847,14.6412,14.095,13.9789,13.2766,11.7955,10.759,10.6985,11.1483,11.7728,11.6029,11.1724,10.3649,11.6717,14.7039,34.738,192.017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503.5,21.5713,20.5198,20.474,19.6416,18.1875,16.6969,15.5511,15.0668,15.9275,16.3775,16.1975,16.9941,15.4898,14.739,14.0362,14.1534,13.476,11.9196,10.8645,10.6764,11.1846,11.983,11.5581,11.2115,10.5395,11.4608,14.1099,30.4458,169.336,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504,21.5105,20.3751,20.4636,19.7186,18.174,16.8223,15.6161,15.0217,15.9697,16.3818,16.3069,17.065,15.6095,14.8948,14.0835,14.326,13.5811,11.9614,10.9572,10.6441,11.1528,11.9005,11.4384,11.3599,10.5598,11.3294,13.7097,26.862,147.394,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504.5,21.5413,20.4378,20.3033,19.9467,17.9809,16.8692,15.4318,15.0515,16.0089,16.2597,16.2757,17.0895,15.7609,15.0422,14.2404,14.317,13.7146,12.0756,11.0374,10.7968,11.2316,12.0298,11.4529,11.1229,10.6728,11.0549,13.325,23.5191,127.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505,21.3848,20.3675,20.2035,19.9987,18.0089,16.8537,15.506,15.0494,16.0763,16.184,16.3149,16.9743,15.8002,15.0237,14.3177,14.4703,13.7717,12.0584,11.2233,10.8305,11.2916,12.0719,11.4731,11.2236,10.7045,10.9344,13.1075,21.2057,109.65,354.609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505.5,21.2574,20.4358,20.014,19.9744,17.9623,16.7357,15.5814,15.2471,15.8604,16.0391,16.4764,17.0069,15.8815,15.0785,14.4283,14.5572,13.6184,12.2271,11.2041,10.9179,11.36,12.2182,11.6386,11.1793,10.601,10.7248,12.8693,19.3716,93.7,325.223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506,21.0069,20.5285,20.1191,19.9351,18.0415,16.636,15.7816,15.4595,15.7924,16.107,16.6959,16.9742,16.1467,15.0828,14.5184,14.6275,13.6317,12.2962,11.2083,11.0751,11.5974,12.4008,11.7605,11.3381,10.5167,10.7189,12.8636,18.2042,80.3864,296.732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506.5,21.0089,20.5202,20.1466,19.9093,17.9735,16.7105,15.8795,15.6009,15.8506,16.1466,16.7335,16.9518,16.2494,15.2052,14.6675,14.6805,13.6081,12.4757,11.2422,11.1881,11.7212,12.5303,11.9176,11.3886,10.4916,10.6401,12.6168,17.166,68.5609,270.608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507,21.0742,20.3433,20.1773,19.9966,17.9991,16.5123,15.9955,15.7934,16.0142,16.2781,16.7844,17.0016,16.1823,15.209,14.57,14.5428,13.6314,12.5079,11.4284,11.3366,11.8511,12.6144,11.9466,11.2857,10.6228,10.6211,12.5894,16.1761,57.8111,249.188,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507.5,21.0859,20.1192,20.1742,19.92,18.1273,16.4535,15.9474,15.7785,16.101,16.443,16.6986,16.8671,16.076,15.3688,14.5624,14.4821,13.5775,12.531,11.5234,11.4103,11.8516,12.6331,12.0222,11.1705,10.7336,10.5913,12.429,15.3734,49.191,224.922,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
508,21.1612,19.7229,20.3169,19.9335,18.1744,16.32,15.9497,15.8733,16.1095,16.3789,16.9465,16.8995,16.0974,15.4214,14.4391,14.5261,13.6366,12.5618,11.5518,11.4274,11.8606,12.7564,12.0926,11.1173,10.8936,10.6642,12.4462,14.5729,42.0705,199.481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
508.5,20.8652,19.5825,20.2783,19.8437,18.181,16.3024,15.9229,15.7783,16.0602,16.3552,17.0728,16.9204,16.1371,15.5507,14.6717,14.5912,13.6071,12.7003,11.4753,11.484,11.7109,12.5863,12.1155,11.0224,10.8625,10.6873,12.2042,13.9228,36.3972,176.629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509,20.8491,19.6832,20.432,19.7963,18.2397,16.5059,15.996,15.7115,15.9862,16.3856,17.2087,17.1312,16.2919,15.7145,14.9545,14.6516,13.6886,12.7424,11.4656,11.5863,11.7062,12.7018,12.0583,10.9908,10.8845,10.6035,12.0073,13.6457,31.5386,154.364,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509.5,20.9639,20.0056,20.1759,19.6203,18.2022,16.5934,16.0337,15.7664,15.6596,16.3658,17.1404,17.2964,16.251,15.776,15.0036,14.828,13.7953,12.773,11.4441,11.6882,11.7402,12.6549,11.9564,10.9177,10.9159,10.7749,11.7381,13.461,27.6343,136.425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,21.0124,20.4737,20.2184,19.7444,18.2681,16.8215,16.0022,15.656,15.765,16.3312,17.0978,17.302,16.338,15.7232,14.9624,14.8736,13.9172,12.78,11.4476,11.781,11.8128,12.6809,11.9085,10.8901,10.9155,10.6954,11.6342,13.4982,24.3216,118.649,379.711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510.5,20.9206,20.1746,20.063,19.7384,18.2691,16.948,16.1593,15.5937,15.8283,16.2548,17.1175,17.1305,16.3192,15.6659,14.9012,14.9409,13.9628,12.7655,11.5125,11.8847,11.9158,12.7365,11.9327,10.8841,10.8041,10.8889,11.6105,13.306,21.7028,103.717,352.237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
