TITLE,
DATA TYPE,FLUORESCENCE SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,2023/08/03
TIME,11:18:43
SPECTROMETER/DATA SYSTEM,JASCO Corp., FP-8550, Rev. 1.00
DELTAX,0.5
XUNITS,NANOMETERS
YUNITS,INTENSITY
FIRSTX,  500.0000
LASTX,  800.0000
NPOINTS,     601
FIRSTY,    11.30478
MAXY,   430.71680
MINY,     5.81230
XYDATA
,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,505,510,515,520,525,530,535,540,545,550,555,560,565,570,575,580,585,590,595,600,605,610,615,620,625,630,635,640,645,650
500,11.3048,11.4547,11.1685,10.5395,10.386,9.77628,8.80948,8.8771,8.37807,8.28271,8.24833,8.11584,7.18015,6.64334,6.20789,6.00486,5.85444,5.33277,4.93983,5.05467,5.67872,6.34512,7.31536,7.22884,7.79276,10.0053,17.5729,79.4795,316.123,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500.5,11.3401,11.3082,11.12,10.3719,10.3625,9.80688,8.83767,8.68006,8.37506,8.21418,8.21618,8.10282,7.16968,6.61708,6.2296,6.01141,5.89204,5.33951,4.90843,4.99233,5.63592,6.28982,7.2068,7.16177,7.66768,9.72715,16.0946,68.1621,290.465,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,11.3049,11.1594,11.2167,10.3505,10.395,9.86466,8.83138,8.6233,8.35011,8.17329,8.20076,8.1114,7.17077,6.5403,6.20431,6.00974,5.92406,5.26648,4.85868,5.00509,5.66341,6.21528,7.1312,7.164,7.59536,9.62432,14.8619,57.7269,264.693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501.5,11.2351,11.0944,11.128,10.2297,10.3635,9.88482,8.8046,8.51451,8.27375,8.15707,8.13742,8.07773,7.19857,6.51165,6.13253,6.05084,5.84021,5.27382,4.87668,4.96595,5.65153,6.15952,7.00868,7.14062,7.50939,9.40143,13.9849,48.9646,241.642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502,11.1773,10.9964,11.1138,10.2555,10.2966,9.76812,8.77469,8.54041,8.20305,8.11217,8.1503,8.00841,7.24906,6.54503,6.16116,6.03781,5.82454,5.21326,4.88068,4.8949,5.60088,6.08888,6.86971,7.17688,7.46207,9.2312,13.3522,41.4869,217.506,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502.5,11.1712,10.9942,10.9561,10.2275,10.1774,9.73856,8.77824,8.54358,8.18584,8.15432,8.15959,7.92053,7.26475,6.61979,6.1183,6.02643,5.78052,5.23253,4.88502,4.89689,5.56557,6.04808,6.77937,7.15309,7.33478,9.00303,12.7162,35.7495,194.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503,11.1495,10.9268,10.9157,10.2011,10.138,9.70435,8.72596,8.42883,8.27732,8.09959,8.0755,7.90211,7.25475,6.66038,6.14306,6.02039,5.75619,5.26162,4.89843,4.92628,5.47346,6.06605,6.66643,7.16071,7.3071,8.79009,12.2338,30.7734,171.733,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503.5,11.1554,10.7997,10.8877,10.2983,10.1029,9.74381,8.75706,8.4504,8.26507,7.9924,8.03612,7.90046,7.22234,6.6895,6.12515,6.03807,5.79435,5.28423,4.9314,4.97666,5.45547,6.08123,6.62201,7.15465,7.30024,8.70689,11.8415,26.7584,149.559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504,11.107,10.7168,10.7597,10.3379,9.99868,9.81504,8.64877,8.41227,8.27601,7.9422,7.9527,7.84146,7.14636,6.67046,6.1802,6.02654,5.79798,5.29966,4.92459,5.02648,5.4233,6.13862,6.54209,7.15576,7.30917,8.54336,11.5328,23.4516,130.225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504.5,10.9536,10.6627,10.5993,10.3688,9.96673,9.93587,8.73985,8.37164,8.28334,7.91463,7.9128,7.74865,7.16108,6.66276,6.25672,6.03885,5.78814,5.32081,4.9441,5.00083,5.43281,6.16278,6.43508,7.12281,7.25102,8.39582,11.2035,20.7186,112.414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505,10.9137,10.6855,10.3977,10.2996,9.87237,9.89076,8.69671,8.39317,8.22999,7.90613,7.87057,7.65731,7.19739,6.63544,6.25757,5.99493,5.77446,5.3137,4.9235,5.01887,5.36713,6.21548,6.35169,7.03224,7.24477,8.25847,10.9657,18.6498,96.6002,309.964,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505.5,10.8353,10.6514,10.3435,10.2809,9.95468,9.83145,8.67,8.43629,8.2222,7.98155,7.86804,7.59175,7.27342,6.61539,6.26495,5.97876,5.74626,5.32783,4.8969,5.03106,5.31423,6.24408,6.29533,7.0008,7.21985,8.09542,10.7131,17.0378,82.5181,285.334,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
