TITLE,
DATA TYPE,FLUORESCENCE SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,2023/08/07
TIME,14:16:20
SPECTROMETER/DATA SYSTEM,JASCO Corp., FP-8550, Rev. 1.00
DELTAX,0.5
XUNITS,NANOMETERS
YUNITS,INTENSITY
FIRSTX,  500.0000
LASTX,  800.0000
NPOINTS,     601
FIRSTY,    21.29668
MAXY,   457.82544
MINY,     9.61409
XYDATA
,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,505,510,515,520,525,530,535,540,545,550,555,560,565,570,575,580,585,590,595,600,605,610,615,620,625,630,635,640,645,650
500,21.2967,21.965,19.8939,19.661,17.8637,15.8422,14.1055,14.2233,14.3943,14.2469,14.952,15.0102,14.3477,12.9262,12.7209,12.8402,12.5506,10.6824,9.69305,9.84474,10.8564,11.7134,12.2666,11.7469,10.8831,12.849,20.6847,92.1323,354.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500.5,21.3824,21.8513,19.9132,19.2693,17.7617,15.6478,14.1939,14.1929,14.0385,14.3869,14.8927,14.854,14.2731,13.0342,12.7206,12.691,12.5456,10.6483,9.60669,9.87931,10.9796,11.7646,12.1553,11.6412,10.8639,12.5754,19.1241,79.1073,329.418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,21.3102,21.6385,19.4573,19.2966,17.6458,15.397,14.0073,14.1315,13.8454,14.2471,14.8398,14.5747,14.4507,12.8657,12.8377,12.6711,12.5859,10.6652,9.37903,9.78025,10.9391,11.7896,12.1487,11.4064,10.6475,12.5286,18.0065,67.2772,293.217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501.5,21.4396,21.4227,19.5843,19.0701,17.5123,15.4844,14.2749,13.9472,13.6709,14.2403,14.8472,14.3906,14.5518,13.0555,12.8665,12.6678,12.3864,10.7853,8.96981,9.78616,11.025,11.6334,12.2054,11.2428,10.6442,12.3323,17.1705,58.1185,264.261,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502,21.1295,21.2917,19.7031,18.9389,17.4228,15.4915,14.1847,14.0212,13.5818,14.2319,14.7234,14.23,14.479,13.1505,12.8011,12.7794,12.3332,10.6711,8.72573,9.78785,11.0397,11.5511,12.0588,11.2287,10.5431,12.0858,16.4193,49.248,236.342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502.5,20.7444,21.0309,19.5446,18.4835,17.3687,15.5729,14.3314,14.2066,13.7501,13.9158,14.805,13.9005,14.5381,13.4808,12.7699,12.7806,12.2966,10.6965,8.82651,9.85957,10.8992,11.369,11.9183,11.3395,10.474,11.9083,15.8254,42.0746,209.084,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503,20.7969,21.0505,19.2233,18.2817,17.0148,15.6748,14.0418,14.1282,13.6848,13.8685,14.7337,13.617,14.2779,13.6744,12.9282,12.8397,12.088,10.7735,9.22395,9.89079,10.9198,11.3717,11.8064,11.3272,10.5431,11.8896,15.3502,37.0242,185.606,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503.5,20.7626,20.7679,19.2461,18.3807,16.9685,15.8896,13.9734,14.2308,13.6993,13.7523,14.9568,13.7861,14.3804,13.484,12.8277,12.946,12.3446,10.8945,9.69421,10.0371,10.9629,11.3705,11.8005,11.1976,10.4964,11.8862,14.9329,32.1645,160.957,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504,20.5946,20.5112,18.8838,18.1269,16.9742,15.8805,14.0332,14.156,13.8369,13.6547,14.805,13.7361,14.4386,13.3803,12.875,13.0938,12.355,10.9785,9.8528,10.0706,10.7998,11.651,11.8089,11.369,10.5731,11.3404,14.6596,28.0481,140.108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
