TITLE,
DATA TYPE,FLUORESCENCE SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,2023/08/04
TIME,11:14:41
SPECTROMETER/DATA SYSTEM,JASCO Corp., FP-8550, Rev. 1.00
DELTAX,0.5
XUNITS,NANOMETERS
YUNITS,INTENSITY
FIRSTX,  500.0000
LASTX,  800.0000
NPOINTS,     601
FIRSTY,    48.59645
MAXY,   322.55066
MINY,    10.79639
XYDATA
,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,505,510,515,520,525,530,535,540,545,550,555,560,565,570,575,580,585,590,595,600,605,610,615,620,625,630,635,640,645,650
500,48.5965,44.648,42.3154,39.6759,34.0479,31.4069,28.352,25.9191,26.6452,27.8771,26.8502,29.0581,27.3817,25.9038,26.1083,26.1305,24.2685,22.3221,20.3166,19.9411,20.5289,19.7606,18.9622,16.5199,15.0939,16.3788,24.9353,104.775,395.611,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500.5,48.5204,44.5539,41.8462,39.5118,33.7678,31.0945,28.1868,25.9979,26.587,27.7236,26.9146,29.3236,27.3791,25.9355,26.2061,25.8243,24.1826,21.9977,20.4516,20.0187,20.7204,19.7674,18.8866,16.4542,15.0803,16.0124,23.0181,88.6462,364.181,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,47.9837,44.6105,41.531,39.21,33.4179,30.7674,27.6279,26.1108,26.4911,27.4956,27.1234,29.8815,27.3855,26.4876,26.4434,25.3961,23.9595,21.7275,20.551,20.1115,20.9853,19.8423,18.9804,16.6201,15.2006,15.7499,21.5512,75.3638,334.136,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501.5,47.218,44.2958,40.8678,38.5697,33.265,30.8009,27.1728,26.1515,26.6341,27.2989,27.2872,29.97,27.4363,26.4607,26.8436,25.2256,24.0627,21.3887,20.6047,20.139,21.1022,20.2476,18.8734,16.897,15.3078,15.6783,20.3443,64.7196,303.844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502,46.4223,43.9524,40.4824,38.2229,33.3124,31.0506,26.883,25.8507,26.6923,27.2202,27.1832,29.751,27.4862,26.2197,27.406,25.3156,24.252,21.3317,20.5446,20.4975,21.209,20.7486,18.8322,17.0724,15.2392,15.643,19.3143,56.0112,270.224,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502.5,45.8501,43.3276,39.9568,37.7085,33.5593,31.2632,26.9777,25.6509,26.7864,27.4407,26.961,29.478,27.4176,26.1393,27.7001,25.2442,24.6303,21.373,20.4363,20.4714,21.2278,21.0658,18.9647,17.3084,15.1691,15.5998,18.6453,48.9453,238.838,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503,45.6014,42.5936,39.4746,38.162,33.7584,31.4015,27.4531,25.6247,26.7934,27.2506,26.4636,29.2156,27.4523,26.285,27.7942,25.4475,24.7686,21.6607,20.6536,20.2721,21.2075,21.407,19.0931,17.473,15.1674,15.4103,18.0976,42.3889,211.155,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503.5,45.5191,42.2099,39.2964,38.1131,33.9149,31.3701,27.9346,25.7908,26.768,27.3001,25.9926,29.1427,27.6236,26.7737,27.2829,25.61,24.8592,22.303,20.5544,20.1751,21.0119,21.4846,18.982,17.6169,15.2313,15.3067,17.6755,36.834,187.376,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504,45.4865,42.1679,39.2271,38.2815,34.0001,31.4771,28.3415,26.0628,26.7787,27.3187,25.8466,29.2372,28.0623,27.0836,27.0892,25.7339,24.8955,23.0178,20.4272,20.201,20.8339,21.5279,19.0214,17.7907,15.4855,15.238,17.3089,32.2849,163.426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504.5,45.5989,42.3038,39.3145,38.3998,34.2309,31.6001,28.253,26.316,26.7636,27.6156,25.9092,29.3898,28.4528,27.1376,27.097,25.6213,24.8192,23.7625,20.8181,20.1021,20.8271,21.1591,19.0103,17.8517,15.5844,15.1829,16.9403,28.7263,141.357,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505,45.7606,42.2059,39.2264,38.5287,34.5321,30.9849,27.9973,26.4176,26.7852,27.4675,26.6201,29.5976,28.7262,27.1942,27.4571,25.4827,24.6293,24.2808,21.2292,20.3992,20.9538,20.9787,19.2553,17.852,15.7553,15.064,16.778,26.1903,122.962,407.189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505.5,45.8085,41.9329,38.8651,38.6759,34.6542,30.7371,27.7657,26.1293,26.8836,27.09,27.1397,29.5646,28.6013,27.5296,27.5071,25.7497,24.7389,24.5405,21.7039,20.6011,21.0124,21.0139,19.4862,17.8756,15.9849,14.8388,16.6935,24.1116,105.59,376.949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506,45.608,41.5722,38.5998,38.3632,34.6521,30.0958,27.7626,25.9552,26.7939,26.9284,27.6359,29.7361,28.5869,27.793,27.3498,26.5986,24.8051,24.5836,21.8374,21.3165,21.3957,21.3292,19.5192,17.8674,16.168,14.7114,16.5166,22.6641,90.8907,346.553,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506.5,45.0152,41.5803,38.2533,38.1471,34.6742,29.8203,27.7476,25.4928,26.7971,27.2724,27.9128,29.9244,28.4595,27.8347,27.0095,27.5468,24.8885,24.3801,21.7734,21.6094,21.4489,21.5787,19.4658,17.9468,16.3258,14.6774,16.2386,21.2204,78.0154,316.372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
