TITLE,
DATA TYPE,FLUORESCENCE SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,2023/08/03
TIME,11:43:14
SPECTROMETER/DATA SYSTEM,JASCO Corp., FP-8550, Rev. 1.00
DELTAX,0.5
XUNITS,NANOMETERS
YUNITS,INTENSITY
FIRSTX,  500.0000
LASTX,  800.0000
NPOINTS,     601
FIRSTY,    14.49800
MAXY,   490.72919
MINY,     6.15841
XYDATA
,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,505,510,515,520,525,530,535,540,545,550,555,560,565,570,575,580,585,590,595,600,605,610,615,620,625,630,635,640,645,650
500,14.498,14.4633,14.49,14.408,14.131,13.2136,12.3236,11.5612,10.6994,10.2515,10.2761,9.84573,8.37459,7.28589,6.81727,6.67129,6.41577,5.73117,5.22231,5.4671,6.10083,7.00056,8.09888,7.96436,8.10672,10.088,17.3861,75.8798,302.993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500.5,14.3774,14.3718,14.382,14.3565,14.0576,13.2051,12.2949,11.5394,10.6723,10.2536,10.2018,9.832,8.36818,7.3294,6.82834,6.65701,6.41877,5.74214,5.20899,5.45059,6.07644,6.88658,8.0188,7.98627,8.0055,9.88587,15.9603,64.6983,278.854,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,14.2874,14.2829,14.2974,14.3601,14.008,13.1805,12.2609,11.5015,10.6769,10.2658,10.152,9.83792,8.3448,7.32884,6.80808,6.65051,6.42747,5.74308,5.2296,5.42142,6.09145,6.75732,7.86635,8.04379,7.9475,9.74339,14.8304,55.1172,253.799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501.5,14.2448,14.171,14.2502,14.3133,13.9036,13.1632,12.174,11.4585,10.6669,10.2512,10.0998,9.86889,8.35059,7.33872,6.82557,6.62208,6.41277,5.75584,5.23454,5.39581,6.10255,6.63476,7.787,8.08099,7.87547,9.55319,13.9194,46.9241,229.21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502,14.22,14.1278,14.2223,14.2633,13.8266,13.1309,12.0829,11.3985,10.64,10.2647,10.0482,9.85726,8.36335,7.33491,6.83611,6.58506,6.37288,5.71959,5.25345,5.39131,6.08508,6.48816,7.71752,8.09408,7.86084,9.38659,13.2102,40.009,205.308,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502.5,14.2188,14.0324,14.1868,14.1975,13.7465,13.0374,12.0392,11.4182,10.6491,10.2193,10.0403,9.84306,8.40848,7.3029,6.85249,6.54398,6.35029,5.74094,5.23556,5.39085,6.06346,6.41128,7.71695,8.12787,7.85964,9.23414,12.6222,34.3476,181.829,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503,14.1408,13.9699,14.096,14.1248,13.645,12.9504,12.0315,11.3904,10.6327,10.2266,10.0032,9.80911,8.45026,7.32305,6.83663,6.51896,6.3291,5.74546,5.24138,5.40679,6.06413,6.3075,7.67078,8.12686,7.86921,9.07226,12.1842,29.7352,160.168,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503.5,14.1094,13.8864,14.0243,14.0686,13.5911,12.8811,12.0336,11.3852,10.5959,10.1914,9.97695,9.78494,8.49074,7.31799,6.79284,6.55072,6.32843,5.76739,5.24049,5.40018,6.06773,6.2495,7.61118,8.09714,7.87794,8.94466,11.8391,25.9011,140.051,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504,13.9927,13.8432,13.945,13.9922,13.5483,12.8196,12.0382,11.3226,10.596,10.164,9.94728,9.74133,8.47962,7.28868,6.7472,6.58279,6.31525,5.79175,5.2705,5.39234,6.04901,6.18864,7.50065,8.08209,7.86743,8.80044,11.5897,22.7853,120.941,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
