TITLE,
DATA TYPE,FLUORESCENCE SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,2023/08/07
TIME,15:04:55
SPECTROMETER/DATA SYSTEM,JASCO Corp., FP-8550, Rev. 1.00
DELTAX,0.5
XUNITS,NANOMETERS
YUNITS,INTENSITY
FIRSTX,  500.0000
LASTX,  800.0000
NPOINTS,     601
FIRSTY,    16.26396
MAXY,   157.28590
MINY,     3.17824
XYDATA
,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,505,510,515,520,525,530,535,540,545,550,555,560,565,570,575,580,585,590,595,600,605,610,615,620,625,630,635,640,645,650
500,16.264,15.2462,14.2379,13.5991,12.6154,12.0343,10.4467,10.6563,9.98913,11.2318,11.0925,11.3481,10.0171,10.0245,9.42032,9.77013,9.16934,7.59052,7.10242,7.19791,7.74451,8.52484,8.25331,7.31949,6.93852,7.86117,12.915,55.4054,210.956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500.5,16.1918,14.9011,14.102,13.7684,12.3679,12.5236,10.6446,10.7204,10.1125,11.2696,11.1489,11.3459,9.96039,10.0202,9.45261,9.86453,9.04902,7.48164,7.18361,7.35771,7.64572,8.51059,8.3462,7.29997,6.76382,7.71658,11.8934,46.7284,196.217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,16.2358,14.7635,13.9913,13.846,12.1506,12.9967,10.6786,10.5835,10.2633,11.2506,11.1638,11.3316,10.07,9.97644,9.46033,9.90085,9.15075,7.48756,7.28541,7.54234,7.71924,8.50984,8.31986,7.30407,6.58381,7.62491,11.1024,39.6091,181.492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501.5,16.0673,14.4911,13.7813,13.6797,12.1298,13.5396,10.5874,10.4075,10.3579,11.2229,11.179,11.2641,10.1702,9.87798,9.50918,9.92717,9.4059,7.85534,7.37063,7.71614,7.75407,8.48622,8.33805,7.36885,6.52467,7.60426,10.5221,33.4442,165.584,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502,16.1938,14.3125,13.4826,13.3155,12.1055,14.2052,10.4548,10.3286,10.3512,11.1821,11.286,11.0726,10.1854,9.79527,9.43902,10.0341,9.74496,8.07837,7.55031,7.67347,7.94414,8.53487,8.32345,7.52995,6.62649,7.5573,10.0752,28.6088,147.757,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502.5,16.1237,14.3542,13.2608,13.1567,12.2798,14.8787,10.343,10.4539,10.3126,11.1687,11.3354,10.9225,10.1831,9.72845,9.4222,10.1408,9.9439,8.27023,7.6958,7.57091,8.07034,8.52026,8.38662,7.72432,6.79558,7.43691,9.6405,24.5957,130.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503,16.1835,14.4497,13.2281,13.1647,12.373,15.0081,10.3067,10.7314,10.3736,11.1212,11.3727,10.7925,10.2822,9.66695,9.46385,10.1843,9.97466,8.34718,7.84201,7.45202,8.188,8.51072,8.40576,7.73758,6.98422,7.25191,9.25582,21.4301,116.065,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503.5,16.1256,14.6033,13.4989,13.358,12.5608,14.3391,10.2055,11.0094,10.2636,11.2173,11.3466,10.835,10.4264,9.77573,9.47996,10.2732,9.94123,8.43282,7.87212,7.46094,8.21943,8.55171,8.33621,7.68066,7.04481,7.09635,8.9007,18.9564,102.093,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504,15.9732,14.7525,13.7717,13.5301,12.6616,13.2149,10.1114,11.2115,10.1632,11.1707,11.1832,11.0238,10.6138,9.98404,9.501,10.1946,9.85932,8.32296,7.75711,7.57833,8.28184,8.7308,8.33132,7.6627,7.06045,6.95288,8.71517,16.79,89.8371,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504.5,15.8656,14.8661,13.965,13.5993,12.5686,12.0133,10.005,11.2133,10.1596,11.2874,11.0772,11.1199,10.7287,10.1763,9.4524,10.2278,9.85601,8.27821,7.68746,7.59186,8.27879,8.86405,8.36325,7.63279,7.01379,6.96817,8.50331,14.9805,77.8713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505,15.7279,14.9232,14.113,13.4902,12.4621,11.4362,10.0958,11.0917,10.3046,11.289,10.96,11.0875,10.6627,10.1712,9.42208,10.3068,9.69734,8.19458,7.55839,7.63694,8.216,8.9708,8.39985,7.67229,6.85115,7.00161,8.41668,13.4776,66.9828,207.096,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
505.5,15.7655,14.8493,14.1721,13.4918,12.3566,11.2327,10.1921,10.8517,10.4771,11.2926,10.9197,11.06,10.5624,10.1595,9.42683,10.3135,9.50447,8.26928,7.53514,7.7169,8.11554,9.05957,8.36156,7.70146,6.70187,7.07862,8.41768,12.2737,57.0686,190.763,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506,15.6937,14.8528,14.1326,13.2841,12.2937,10.9541,10.3573,10.485,10.513,11.2515,10.8159,11.0409,10.383,10.1981,9.44249,10.2909,9.3155,8.26446,7.55169,7.75835,8.14043,9.08115,8.22803,7.69889,6.62764,7.00514,8.24466,11.3311,48.8343,172.198,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
506.5,15.7402,14.9872,13.9675,13.2005,12.3394,10.7662,10.4484,10.3548,10.522,11.2224,10.8324,11.0435,10.3969,10.2569,9.45156,10.3615,9.09225,8.34252,7.51861,7.82988,8.2532,9.1422,8.13129,7.63575,6.67218,6.89172,8.10886,10.6541,41.8714,157.107,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507,15.8176,15.2271,13.7177,12.932,12.4024,10.6098,10.4597,10.496,10.5036,11.0845,10.9842,10.9871,10.517,10.3082,9.45539,10.3479,8.99849,8.40215,7.55473,7.95301,8.3005,9.07494,8.118,7.63451,6.77428,6.79551,7.87533,10.1025,35.9105,141.704,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
507.5,15.801,15.4208,13.7598,12.9031,12.4609,10.6362,10.4788,10.8609,10.6774,11.1902,11.1733,10.9628,10.6828,10.3649,9.53556,10.3402,8.96918,8.5485,7.64511,8.05148,8.2607,9.0137,8.15605,7.55186,6.87011,6.71346,7.69774,9.68579,30.464,129.761,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
508,15.816,15.2588,13.7539,12.9797,12.8218,10.8103,10.3922,11.0221,10.7617,11.2328,11.2256,10.9808,10.7879,10.3414,9.51729,10.221,9.10927,8.62438,7.75431,8.08295,8.27526,8.98446,8.15239,7.56054,7.01801,6.72146,7.55082,9.36695,26.1993,115.436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
508.5,15.9232,15.0368,13.847,13.0583,13.9803,10.9782,10.3446,10.9521,10.8398,11.3463,11.1662,11.0621,10.8819,10.4483,9.63557,10.2506,9.32656,8.65922,7.80765,8.06572,8.26447,9.04715,8.19285,7.43573,6.99814,6.62391,7.44324,9.13503,22.5971,102.167,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509,16.0536,14.9667,13.9525,13.2896,14.4471,11.063,10.2822,10.7245,10.833,11.4333,11.1902,11.2281,11.0231,10.354,9.80291,10.3987,9.6123,8.647,7.83218,8.03198,8.33769,9.14892,8.2798,7.33064,6.9461,6.58477,7.4507,8.77444,19.5693,90.0856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
509.5,16.1292,15.0274,13.8557,13.3649,14.2846,11.2129,10.3052,10.655,10.9964,11.4533,11.3221,11.3773,10.9246,10.5312,9.9342,10.4133,9.74218,8.75997,7.89429,8.02344,8.38511,9.24767,8.35796,7.22824,6.85249,6.51668,7.3955,8.59688,17.1786,79.8703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510,16.2221,15.0566,13.715,13.457,13.3125,11.3656,10.5036,10.6385,11.1498,11.3837,11.4969,11.597,10.7132,10.6634,10.0362,10.2636,9.68837,8.79339,7.91671,8.00489,8.34497,9.33535,8.54664,7.24611,6.83034,6.52239,7.3755,8.39635,14.9631,69.9157,228.974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
510.5,16.1308,15.0325,13.5032,13.4207,12.6963,11.9306,10.66,10.6885,11.1223,11.3997,11.4867,11.7024,10.4176,10.6832,10.0154,10.1377,9.58674,8.8954,7.93294,8.08198,8.41043,9.24837,8.65749,7.27222,6.81492,6.67101,7.31537,8.43421,13.2942,60.4179,210.131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511,16.0455,14.9617,13.4566,13.263,12.6868,12.9344,11.0315,10.6878,11.0311,11.369,11.4184,11.6804,10.3868,10.6274,10.009,10.1658,9.65252,8.91184,7.91938,8.08771,8.5685,9.11792,8.81233,7.29923,6.78671,6.84843,7.30523,8.40504,12.0785,52.177,193.456,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
511.5,15.7386,14.8961,13.5218,13.2032,12.8255,14.1426,11.2631,10.7439,10.945,11.5325,11.2737,11.6015,10.5296,10.4435,10.0778,10.2446,9.7432,8.9226,7.96473,8.09166,8.67998,9.09416,9.02532,7.27454,6.8102,6.93712,7.25789,8.24833,10.9706,45.0893,177.452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
512,15.6078,14.9159,13.6654,13.2568,12.8052,14.9398,11.3316,10.7632,11.096,11.7634,11.2392,11.4113,10.7879,10.4288,10.1767,10.4092,9.98847,9.01424,7.97304,8.14539,8.76935,9.07006,9.09171,7.214,6.88744,6.95224,7.08177,8.13055,10.153,38.5654,161.831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
512.5,15.3978,14.7129,13.814,13.4669,12.7272,14.7082,11.1904,10.8133,11.1176,11.9119,11.1813,11.2992,10.9215,10.4039,10.123,10.5025,10.1523,9.06185,8.05411,8.13813,8.75274,9.08124,9.15092,7.17283,6.87575,6.85867,6.90261,7.91829,9.56954,32.6018,146.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
513,15.3884,14.4327,14.0926,13.4167,12.7155,13.9061,10.8764,10.9704,11.1558,11.8782,11.211,11.2732,10.9035,10.4859,9.97034,10.6271,10.2008,9.06213,8.16953,8.12859,8.77044,9.03345,9.01071,7.17878,6.86794,6.83731,6.76744,7.76788,9.2851,27.6675,130.138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
513.5,15.235,14.2366,14.2868,13.1625,12.7371,12.9268,10.6019,11.0913,11.0431,11.896,11.2215,11.3106,10.7888,10.4609,9.93104,10.5709,10.2463,9.04598,8.31221,8.02394,8.75713,9.045,8.86105,7.29724,6.79116,6.84573,6.64512,7.71688,9.04283,23.6189,115.712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
514,15.1715,14.1229,14.4577,12.9566,12.6601,12.4684,10.4949,11.3175,11.0611,11.7234,11.3575,11.3113,10.8091,10.5153,9.942,10.4125,10.2968,9.01224,8.45092,7.95845,8.84041,9.07929,8.78703,7.24676,6.61914,6.84573,6.62025,7.62626,8.86095,20.527,103.257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
514.5,14.9778,14.0647,14.5062,12.8904,12.5683,12.0949,10.5632,11.3714,11.104,11.5192,11.5531,11.2947,10.8394,10.462,10.0045,10.2927,10.4592,9.12009,8.38537,7.81024,8.94563,9.14557,8.77251,7.2286,6.54212,6.66837,6.59975,7.59837,8.63379,17.7978,91.1019,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
515,14.8774,14.0529,14.4272,13.1714,12.4336,11.7781,10.6185,11.2105,10.987,11.3526,11.5739,11.2282,10.9931,10.4983,10.1751,10.3213,10.6008,9.27744,8.24863,7.6559,8.99639,9.2095,8.85006,7.18259,6.5268,6.46736,6.54611,7.3961,8.47773,15.6366,80.2154,255.325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
515.5,14.7073,13.9618,14.3814,13.3659,12.4575,11.2179,10.7564,10.9841,11.0843,11.1721,11.6237,11.1007,11.0608,10.6002,10.2312,10.5404,10.7105,9.33946,8.14148,7.53833,8.89827,9.26785,8.81202,7.28269,6.47578,6.3939,6.52263,7.23157,8.30673,13.752,69.7955,231.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
516,14.557,13.933,14.1823,13.4023,12.4626,10.9245,10.8523,10.7462,11.1227,11.1259,11.4918,11.1098,11.067,10.6944,10.2828,10.7378,10.6861,9.39501,8.08679,7.46408,8.82106,9.29127,8.78139,7.37048,6.50981,6.31976,6.51043,7.14194,8.27054,12.3559,59.5427,208.774,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
