TITLE,
DATA TYPE,FLUORESCENCE SPECTRUM
ORIGIN,JASCO
OWNER,
DATE,2023/08/04
TIME,14:07:07
SPECTROMETER/DATA SYSTEM,JASCO Corp., FP-8550, Rev. 1.00
DELTAX,0.5
XUNITS,NANOMETERS
YUNITS,INTENSITY
FIRSTX,  500.0000
LASTX,  800.0000
NPOINTS,     601
FIRSTY,    22.17613
MAXY,   436.85345
MINY,     9.46412
XYDATA
,350,355,360,365,370,375,380,385,390,395,400,405,410,415,420,425,430,435,440,445,450,455,460,465,470,475,480,485,490,495,500,505,510,515,520,525,530,535,540,545,550,555,560,565,570,575,580,585,590,595,600,605,610,615,620,625,630,635,640,645,650
500,22.1761,20.9512,20.3477,18.6183,17.3611,15.2754,13.8212,13.3748,12.9573,12.904,13.1039,13.2854,12.7681,11.8615,11.3366,11.0288,10.3812,9.29224,8.18626,8.28339,9.12183,9.4166,9.34719,8.50734,8.56824,10.3394,16.7339,73.7212,296.366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
500.5,21.8653,20.8154,20.3449,18.7237,17.2481,15.19,13.763,13.3423,13.0148,12.9283,13.2324,13.3596,13.0279,11.7636,11.309,10.9267,10.457,9.2782,8.26727,8.21806,9.15585,9.3292,9.35795,8.57207,8.47422,10.233,15.5438,62.5424,271.555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501,21.6951,20.6911,20.2079,18.7585,17.1854,15.148,13.7052,13.3852,13.0049,12.9946,13.2772,13.3064,12.8481,11.7091,11.2924,11.0187,10.5098,9.2914,8.30446,8.17652,9.19764,9.3279,9.30253,8.63602,8.41196,10.1137,14.4202,52.7953,247.319,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
501.5,21.5659,20.5482,20.0922,18.6767,17.1379,15.1769,13.5861,13.3559,13.017,13.0246,13.1987,13.3387,12.6193,11.6422,11.3622,11.0852,10.4837,9.31134,8.29911,8.18658,9.19952,9.36182,9.23333,8.65414,8.33435,10.0151,13.6352,44.9966,224.053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502,21.4223,20.4824,19.8014,18.6149,17.0797,15.1805,13.5803,13.2941,12.9909,13.0837,13.2283,13.3262,12.3573,11.6235,11.3986,11.2328,10.4699,9.31639,8.32698,8.29605,9.26634,9.3359,9.15148,8.64387,8.24821,9.83232,12.9722,38.4191,202.112,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
502.5,21.3883,20.4153,19.7516,18.5268,17.0077,15.1257,13.6404,13.274,12.9607,13.1791,13.2148,13.2129,12.2823,11.7392,11.3831,11.2491,10.3532,9.34978,8.36015,8.44318,9.2707,9.39894,9.09999,8.66566,8.24187,9.6849,12.5046,32.789,178.845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503,21.3386,20.4938,19.6641,18.4135,16.8789,15.0815,13.7574,13.3064,12.9446,13.1222,13.2894,13.3341,12.3275,11.7112,11.4098,11.3276,10.3348,9.39541,8.43426,8.41659,9.26737,9.4498,9.02629,8.61042,8.1305,9.52543,12.2459,28.2946,157.329,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
503.5,21.2602,20.4656,19.6878,18.2111,16.7497,15.009,13.7623,13.3721,12.9709,13.0752,13.1516,13.2282,12.3552,11.7463,11.4514,11.3369,10.3474,9.43616,8.41779,8.45948,9.27796,9.45745,8.97904,8.62746,8.06821,9.41314,11.9496,24.7132,137.274,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
504,21.1924,20.3693,19.7509,18.1364,16.5959,14.9416,13.7536,13.3691,13.0115,13.1046,13.1609,13.1884,12.4155,11.7569,11.5063,11.2739,10.4255,9.44001,8.5,8.45011,9.25733,9.56211,8.92772,8.56543,8.06284,9.20896,11.8027,21.868,118.713,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
